"Name","Code"
"A","1"
"Aa","11"
"Ab","111"
"Abb","112"
"Abbe","113"
"Abbot","114"
"Abbott","115"
"Abd","116"
"Abde","117"
"Abdi","118"
"Abe","119"
"Abec","12"
"Abel","121"
"Abelh","122"
"Abell","123"
"Aben","124"
"Aber","125"
"Abere","126"
"Abern","127"
"Abes","128"
"Abet","129"
"Abi","13"
"Abil","131"
"Abin","132"
"Abir","133"
"Abis","134"
"Abl","135"
"Abo","136"
"Abou","137"
"Abra","138"
"Abrah","139"
"Abram","14"
"Abran","141"
"Abrandis","142"
"Abrantes","143"
"Abre","144"
"Abreu","145"
"Abreu, M.","146"
"Abri","147"
"Abro","148"
"Abru","149"
"Abu","15"
"Abuce","151"
"Abus","152"
"Aca","153"
"Acc","154"
"Accio","155"
"Accur","156"
"Ace","157"
"Acer","158"
"Acev","159"
"Acha","16"
"Ache","161"
"Achi","162"
"Acho","163"
"Achu","164"
"Ack","165"
"Acke","166"
"Aco","167"
"Acqua","168"
"Acque","169"
"Acr","17"
"Acre","171"
"Ada","172"
"Adam","173"
"Adami","174"
"Adamo","175"
"Adams","176"
"Adas","177"
"Adat","178"
"Add","179"
"Addis","18"
"Addison","181"
"Aden","182"
"Adh","183"
"Adk","184"
"Adl","185"
"Adlo","186"
"Ads","187"
"Adsit","188"
"Adu","189"
"Adv","19"
"Ae","191"
"Ael","192"
"Aes","193"
"Aff","194"
"Affonseca","195"
"Affonso","196"
"Afla","197"
"Afonseca","198"
"Afonso","199"
"Aga","21"
"Age","211"
"Agh","212"
"Agi","213"
"Agli","214"
"Agn","215"
"Agnel","216"
"Agnes","217"
"Agno","218"
"Ago","219"
"Agost","22"
"Agostin","221"
"Agra","222"
"Agre","223"
"Agri","224"
"Ague","225"
"Agug","226"
"Aguiar","227"
"Aguiar, C.","228"
"Aguiar, F.","229"
"Aguiar, L","23"
"Aguiar, P.","231"
"Aguiar, R.","232"
"Aguiar, T.","233"
"Aguil","234"
"Aguilar","235"
"Aguillar","236"
"Aguirre","237"
"Agus","238"
